condsFile,readyMSG,condition,stimuli_left,stimuli_right,target,correct_answer,face_left,face_right,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,blanc.started,blanc.stopped,textbox.stopped,session,participant,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,orizontal.png,1,,,0,0,0,0,0,0,0,10,9.964866625000013,12.432066707999866,12.432066707999866,12.432066707999866,16.475501832999953,16.475501832999953,16.475501832999953,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,,,0,0,0,0,0,1,1,0,,16.929647957999805,16.929647957999805,16.929647957999805,20.958661416999803,20.958661416999803,20.958661416999803,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,,,0,0,0,0,0,2,2,9,,21.429095957999834,21.429095957999834,21.429095957999834,25.458007624999937,25.458007624999937,25.458007624999937,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,circle.png,1,,,0,0,0,0,0,3,3,4,,25.93019849999996,25.93019849999996,25.93019849999996,29.962419416999865,29.962419416999865,29.962419416999865,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,,,0,0,0,0,0,4,4,7,,30.42896708299986,30.42896708299986,30.42896708299986,34.46280104199991,34.46280104199991,34.46280104199991,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,vertical.png,1,,,0,0,0,0,0,5,5,2,,34.92888479199996,34.92888479199996,34.92888479199996,38.95761541699994,38.95761541699994,38.95761541699994,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,,,0,0,0,0,0,6,6,6,,39.42900574999999,39.42900574999999,39.42900574999999,43.459808666999834,43.459808666999834,43.459808666999834,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,vertical.png,2,,,0,0,0,0,0,7,7,5,,43.929191875000015,43.929191875000015,43.929191875000015,47.959710374999986,47.959710374999986,47.959710374999986,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,orizontal.png,2,,,0,0,0,0,0,8,8,1,,48.42983449999997,48.42983449999997,48.42983449999997,52.453377791999856,52.453377791999856,52.453377791999856,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,orizontal.png,1,,,0,0,0,0,0,9,9,8,,52.92921179199993,52.92921179199993,52.92921179199993,56.955623124999875,56.955623124999875,56.955623124999875,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,vertical.png,2,,,0,0,0,0,0,10,10,11,,57.42997087499998,57.42997087499998,57.42997087499998,61.47246245799988,61.47246245799988,61.47246245799988,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,,,0,0,0,0,0,11,11,3,,61.929908207999915,61.929908207999915,61.929908207999915,65.93199154199988,65.93199154199988,65.93199154199988,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,Angry,F21AN.png,F20AN.png,F21AN.png,1,,,0,1,1,1,0,0,0,2,69.95071733299983,72.42929074999984,72.42929074999984,72.42929074999984,76.46238670799994,76.46238670799994,76.46238670799994,65.93199154199988,69.95071733299983,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,Angry,M10AN.png,M05AN.png,M05AN.png,2,,,0,1,1,1,0,1,1,0,,76.92970349999996,76.92970349999996,76.92970349999996,80.96190854199995,80.96190854199995,80.96190854199995,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,Angry,F14AN.png,F31AN.png,F31AN.png,2,,,0,1,1,1,0,2,2,5,,81.42997987499984,81.42997987499984,81.42997987499984,85.47672895799997,85.47672895799997,85.47672895799997,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,Angry,M30AN.png,M09AN.png,M09AN.png,2,,,0,1,1,1,0,3,3,1,,85.92892737499983,85.92892737499983,85.92892737499983,89.9622939169999,89.9622939169999,89.9622939169999,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,Angry,F22AN.png,F23AN.png,F22AN.png,1,,,0,1,1,1,0,4,4,3,,90.42908516699981,90.42908516699981,90.42908516699981,94.46239179199983,94.46239179199983,94.46239179199983,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,Angry,M17AN.png,M11AN.png,M17AN.png,1,,,0,1,1,1,0,5,5,4,,94.92905545799977,94.92905545799977,94.92905545799977,98.92506616699984,98.92506616699984,98.92506616699984,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,orizontal.png,2,,,0,2,2,2,0,0,0,1,102.93241220799973,105.43023554199999,105.43023554199999,105.43023554199999,109.46882158299968,109.46882158299968,109.46882158299968,98.9285075419998,102.92507958299984,104.9651346669998,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,,,0,2,2,2,0,1,1,6,,109.92986766700005,109.92986766700005,109.92986766700005,113.9527290420001,113.9527290420001,113.9527290420001,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,,,0,2,2,2,0,2,2,7,,114.42949537499999,114.42949537499999,114.42949537499999,118.45932387499988,118.45932387499988,118.45932387499988,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,vertical.png,1,,,0,2,2,2,0,3,3,2,,118.92998662499986,118.92998662499986,118.92998662499986,122.97175816699973,122.97175816699973,122.97175816699973,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,vertical.png,2,,,0,2,2,2,0,4,4,5,,123.42926091699974,123.42926091699974,123.42926091699974,127.45485162499972,127.45485162499972,127.45485162499972,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,vertical.png,2,,,0,2,2,2,0,5,5,11,,127.9290980830001,127.9290980830001,127.9290980830001,131.9543336669999,131.9543336669999,131.9543336669999,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,,,0,2,2,2,0,6,6,9,,132.42985687500004,132.42985687500004,132.42985687500004,136.45127866699977,136.45127866699977,136.45127866699977,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,orizontal.png,1,,,0,2,2,2,0,7,7,8,,136.93012604199976,136.93012604199976,136.93012604199976,140.97281362500007,140.97281362500007,140.97281362500007,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,circle.png,1,,,0,2,2,2,0,8,8,4,,141.42930625000008,141.42930625000008,141.42930625000008,145.45420762499998,145.45420762499998,145.45420762499998,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,orizontal.png,1,,,0,2,2,2,0,9,9,10,,145.93047295799988,145.93047295799988,145.93047295799988,149.9704855,149.9704855,149.9704855,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,,,0,2,2,2,0,10,10,0,,150.43022791699968,150.43022791699968,150.43022791699968,154.47299795799972,154.47299795799972,154.47299795799972,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,,,0,2,2,2,0,11,11,3,,154.93001462499979,154.93001462499979,154.93001462499979,158.92947012500008,158.92947012500008,158.92947012500008,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,,,M10NE.png,1,M10NE.png,M11NE.png,0,3,3,3,0,0,0,3,162.93197650000002,165.4293911249997,165.4293911249997,165.4293911249997,169.45646299999999,169.45646299999999,169.45646299999999,158.92947012500008,162.92511587499985,164.97180549999985,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,,,F13NE.png,2,F06NE.png,F13NE.png,0,3,3,3,0,1,1,0,,169.92853937500013,169.92853937500013,169.92853937500013,173.95686075000003,173.95686075000003,173.95686075000003,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,,,F07NE.png,1,F07NE.png,F29NE.png,0,3,3,3,0,2,2,5,,174.42947112499996,174.42947112499996,174.42947112499996,178.45688408299975,178.45688408299975,178.45688408299975,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,,,F19NE.png,2,F05NE.png,F19NE.png,0,3,3,3,0,3,3,2,,178.93013337499997,178.93013337499997,178.93013337499997,182.95887058300013,182.95887058300013,182.95887058300013,,,,001,,2023-04-11_11h04.02.042,blockedTrials,2022.2.5,None,
,,,,,,,,,,,,,,,,,,183.42998358299974,183.42998358299974,183.42998358299974,,,,,,,,,,,,,
