condsFile,readyMSG,condition,stimuli_left,stimuli_right,target,correct_answer,face_left,face_right,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,blanc.started,blanc.stopped,textbox.stopped,session,participant,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,vertical.png,1,,,0,0,0,0,0,0,0,2,9.127698082999814,11.598365875000127,11.598365875000127,11.598365875000127,15.638059999999768,15.638059999999768,15.638059999999768,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,,,0,0,0,0,0,1,1,0,,16.092509499999778,16.092509499999778,16.092509499999778,20.115424332999737,20.115424332999737,20.115424332999737,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,orizontal.png,2,,,0,0,0,0,0,2,2,1,,20.596274790999814,20.596274790999814,20.596274790999814,24.621697291000146,24.621697291000146,24.621697291000146,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,orizontal.png,1,,,0,0,0,0,0,3,3,8,,25.092263083000034,25.092263083000034,25.092263083000034,29.12575945799972,29.12575945799972,29.12575945799972,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,circle.png,1,,,0,0,0,0,0,4,4,4,,29.592296583000007,29.592296583000007,29.592296583000007,33.616515958000036,33.616515958000036,33.616515958000036,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,,,0,0,0,0,0,5,5,7,,34.09228679099988,34.09228679099988,34.09228679099988,38.11627279100003,38.11627279100003,38.11627279100003,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,,,0,0,0,0,0,6,6,6,,38.592303957999775,38.592303957999775,38.592303957999775,42.61972266600014,42.61972266600014,42.61972266600014,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,orizontal.png,1,,,0,0,0,0,0,7,7,10,,43.0974429580001,43.0974429580001,43.0974429580001,47.14221829100006,47.14221829100006,47.14221829100006,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,,,0,0,0,0,0,8,8,3,,47.597756082999695,47.597756082999695,47.597756082999695,51.63336658299977,51.63336658299977,51.63336658299977,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,,,0,0,0,0,0,9,9,9,,52.09660020799993,52.09660020799993,52.09660020799993,56.12344466600007,56.12344466600007,56.12344466600007,,,,001,,2023-04-11_11h08.16.096,blockedTrials,2022.2.5,None,
