condsFile,readyMSG,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,blanc.started,blanc.stopped,textbox.stopped,session,participant,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,0,0,0,0,0,0,0,0,9.725492334000137,12.207611209000333,12.207611209000333,12.207611209000333,16.239263209,16.239263209,16.239263209,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,vertical.png,2,0,0,0,0,0,1,1,11,,16.693692416999966,16.693692416999966,16.693692416999966,20.723731625000255,20.723731625000255,20.723731625000255,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,0,0,0,0,0,2,2,6,,21.19420995900009,21.19420995900009,21.19420995900009,25.226507416999993,25.226507416999993,25.226507416999993,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,vertical.png,2,0,0,0,0,0,3,3,5,,25.694615542000065,25.694615542000065,25.694615542000065,29.721428292000382,29.721428292000382,29.721428292000382,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,0,0,0,0,0,4,4,9,,30.196126875000118,30.196126875000118,30.196126875000118,34.23502166700018,34.23502166700018,34.23502166700018,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,0,0,0,0,0,5,5,3,,34.6940278750003,34.6940278750003,34.6940278750003,38.69089366700018,38.69089366700018,38.69089366700018,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,F06NE.png,F13NE.png,F13NE.png,2,0,1,1,1,0,0,0,0,42.70273829200005,45.195680584,45.195680584,45.195680584,49.24101812500021,49.24101812500021,49.24101812500021,38.69495900000038,42.70273829200005,44.744189459000154,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,M01NE.png,M31NE.png,M01NE.png,1,0,1,1,1,0,1,1,1,,49.69393712500005,49.69393712500005,49.69393712500005,53.728269959000045,53.728269959000045,53.728269959000045,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,F07NE.png,F29NE.png,F07NE.png,1,0,1,1,1,0,2,2,5,,54.19499520900035,54.19499520900035,54.19499520900035,58.22836600000028,58.22836600000028,58.22836600000028,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,M10NE.png,M11NE.png,M10NE.png,1,0,1,1,1,0,3,3,3,,58.6941998340003,58.6941998340003,58.6941998340003,62.72697920900009,62.72697920900009,62.72697920900009,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,F05NE.png,F19NE.png,F19NE.png,2,0,1,1,1,0,4,4,2,,63.19585254200001,63.19585254200001,63.19585254200001,67.24074000000019,67.24074000000019,67.24074000000019,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,M13NE.png,M07NE.png,M07NE.png,2,0,1,1,1,0,5,5,4,,67.69429733400011,67.69429733400011,67.69429733400011,71.69095920900008,71.69095920900008,71.69095920900008,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,vertical.png,2,0,2,2,2,0,0,0,11,75.70275579200006,78.19593929200028,78.19593929200028,78.19593929200028,82.23994595900012,82.23994595900012,82.23994595900012,71.6952657920001,75.70275579200006,77.74026516699996,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,0,2,2,2,0,1,1,0,,82.69374375000007,82.69374375000007,82.69374375000007,86.72418287500022,86.72418287500022,86.72418287500022,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,vertical.png,1,0,2,2,2,0,2,2,2,,87.19998012500037,87.19998012500037,87.19998012500037,91.23619283400012,91.23619283400012,91.23619283400012,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,0,2,2,2,0,3,3,3,,91.69372287500028,91.69372287500028,91.69372287500028,95.72131608400014,95.72131608400014,95.72131608400014,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,0,2,2,2,0,4,4,7,,96.194976709,96.194976709,96.194976709,100.22002070899998,100.22002070899998,100.22002070899998,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,0,2,2,2,0,5,5,6,,100.69358337500034,100.69358337500034,100.69358337500034,104.69079279200014,104.69079279200014,104.69079279200014,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,M28SU.png,M11SU.png,M28SU.png,1,0,3,3,3,0,0,0,1,108.69849937500021,111.19651412500025,111.19651412500025,111.19651412500025,115.2426337500001,115.2426337500001,115.2426337500001,104.69440008400034,108.69085925000036,110.74065491700003,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,M09SU.png,M35SU.png,M09SU.png,1,0,3,3,3,0,1,1,0,,115.69360962500014,115.69360962500014,115.69360962500014,119.7266398339998,119.7266398339998,119.7266398339998,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,F01SU.png,F35SU.png,F35SU.png,2,0,3,3,3,0,2,2,4,,120.1947154999998,120.1947154999998,120.1947154999998,124.22627320900028,124.22627320900028,124.22627320900028,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,M01SU.png,M16SU.png,M16SU.png,2,0,3,3,3,0,3,3,3,,124.69352675000027,124.69352675000027,124.69352675000027,128.72713045900036,128.72713045900036,128.72713045900036,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,F32SU.png,F22SU.png,F32SU.png,1,0,3,3,3,0,4,4,5,,129.1954098340002,129.1954098340002,129.1954098340002,133.2276496250006,133.2276496250006,133.2276496250006,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,F13SU.png,F24SU.png,F24SU.png,2,0,3,3,3,0,5,5,2,,133.69362045900016,133.69362045900016,133.69362045900016,137.6908954999999,137.6908954999999,137.6908954999999,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,circle.png,1,0,4,4,4,0,0,0,6,141.69812704200012,144.19672108400027,144.19672108400027,144.19672108400027,148.23643570900003,148.23643570900003,148.23643570900003,137.69467645900022,141.69075808399975,143.73749895899982,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,0,4,4,4,0,1,1,9,,148.69371183400017,148.69371183400017,148.69371183400017,152.7230065419999,152.7230065419999,152.7230065419999,,,,001,,2023-04-11_11h37.57.431,blockedTrials,2022.2.5,None,
,,,,,,,,,,,,,,,,153.19596704200012,153.19596704200012,153.19596704200012,,,,,,,,,,,,,
